"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BHR^D","Braemar Hotels & Resorts Inc.","25.9579","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bhr^d",
"BDN","Brandywine Realty Trust","14.67","2584784112.12","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/bdn",
"BWG","BrandywineGLOBAL Global Income Opportunities Fund ","12.03","252507233.85","n/a","2012","n/a","n/a","https://www.nasdaq.com/symbol/bwg",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.24","228121192.32","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/lnd",
"BRFS","BRF S.A.","8.98","7287516052","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/brfs",
"BGG","Briggs & Stratton Corporation","5.57","234251769.61","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bgg",
"MNRL","Brigham Minerals, Inc.","21.85","1109433750","n/a","2019","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mnrl",
"BFAM","Bright Horizons Family Solutions Inc.","158.69","9237103215.13","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BEDU","Bright Scholar Education Holdings Limited","9.6","1189667289.6","n/a","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/bedu",
"BSA","BrightSphere Investment Group Inc.","24.9845","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsa",
"BSIG","BrightSphere Investment Group Inc.","10.15","929662048","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsig",
"BV","BrightView Holdings, Inc.","19","1992001705","n/a","2018","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/bv",
"EAT","Brinker International, Inc.","40.34","1512750000","n/a","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/eat",
"BCO","Brink&#39;s Company (The)","76.93","3846460996.49","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/bco",
"BMY","Bristol-Myers Squibb Company","48.09","78664012427.7","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bmy",
"BTI","British American Tobacco p.l.c.","35.76","82026483213.84","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/bti",
"BRX","Brixmor Property Group Inc.","19.51","5810980357.01","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/brx",
"BR","Broadridge Financial Solutions, Inc.","129.17","14761899975.76","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BKD","Brookdale Senior Living Inc.","8.19","1519221486.51","n/a","2005","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/bkd",
